,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,229010827.0,225440496.0,222998790.0,217875890.0,
Share Issued,229010827.0,225440496.0,222998790.0,217875890.0,
Total Debt,5463000000.0,4468000000.0,3459000000.0,2928000000.0,
Tangible Book Value,464000000.0,577000000.0,479000000.0,481000000.0,
Invested Capital,1105000000.0,1106000000.0,977000000.0,938000000.0,
Working Capital,-1145000000.0,-862000000.0,-787000000.0,-535000000.0,
Net Tangible Assets,464000000.0,577000000.0,479000000.0,481000000.0,
Capital Lease Obligations,4849000000.0,3966000000.0,2989000000.0,2499000000.0,
Common Stock Equity,491000000.0,604000000.0,507000000.0,509000000.0,
Total Capitalization,804000000.0,845000000.0,726000000.0,781000000.0,
Total Equity Gross Minority Interest,491000000.0,604000000.0,507000000.0,509000000.0,
Stockholders Equity,491000000.0,604000000.0,507000000.0,509000000.0,
Gains Losses Not Affecting Retained Earnings,-5000000.0,-6000000.0,-7000000.0,-6000000.0,
Other Equity Adjustments,-5000000.0,-6000000.0,-7000000.0,-6000000.0,
Retained Earnings,59000000.0,196000000.0,111000000.0,122000000.0,
Additional Paid In Capital,437000000.0,414000000.0,403000000.0,393000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,6729000000.0,5549000000.0,4486000000.0,3990000000.0,
Total Non Current Liabilities Net Minority Interest,4626000000.0,3697000000.0,2828000000.0,2435000000.0,
Other Non Current Liabilities,199000000.0,123000000.0,134000000.0,97000000.0,
Non Current Deferred Liabilities,44000000.0,31000000.0,35000000.0,32000000.0,
Non Current Deferred Revenue,44000000.0,31000000.0,35000000.0,32000000.0,
Non Current Deferred Taxes Liabilities,,,,,0.0
Long Term Debt And Capital Lease Obligation,4383000000.0,3543000000.0,2659000000.0,2306000000.0,
Long Term Capital Lease Obligation,4070000000.0,3302000000.0,2440000000.0,2034000000.0,
Long Term Debt,313000000.0,241000000.0,219000000.0,272000000.0,
Current Liabilities,2103000000.0,1852000000.0,1658000000.0,1555000000.0,
Other Current Liabilities,234000000.0,239000000.0,229000000.0,301000000.0,
Current Deferred Liabilities,368000000.0,312000000.0,263000000.0,326000000.0,
Current Deferred Revenue,368000000.0,312000000.0,263000000.0,326000000.0,
Current Debt And Capital Lease Obligation,1080000000.0,925000000.0,800000000.0,622000000.0,
Current Capital Lease Obligation,779000000.0,664000000.0,549000000.0,465000000.0,
Current Debt,301000000.0,261000000.0,251000000.0,157000000.0,
Other Current Borrowings,301000000.0,261000000.0,251000000.0,157000000.0,
Payables And Accrued Expenses,421000000.0,376000000.0,366000000.0,306000000.0,
Current Accrued Expenses,143000000.0,120000000.0,107000000.0,104000000.0,
Payables,278000000.0,256000000.0,259000000.0,202000000.0,
Total Tax Payable,148000000.0,141000000.0,125000000.0,113000000.0,
Accounts Payable,130000000.0,115000000.0,134000000.0,89000000.0,
Total Assets,7220000000.0,6153000000.0,4993000000.0,4499000000.0,
Total Non Current Assets,6262000000.0,5163000000.0,4122000000.0,3479000000.0,
Other Non Current Assets,491000000.0,426000000.0,330000000.0,265000000.0,
Goodwill And Other Intangible Assets,27000000.0,27000000.0,28000000.0,28000000.0,
Other Intangible Assets,27000000.0,27000000.0,28000000.0,28000000.0,
Net PPE,5744000000.0,4710000000.0,3764000000.0,3186000000.0,
Accumulated Depreciation,-333000000.0,-252000000.0,-183000000.0,-151000000.0,
Gross PPE,6077000000.0,4962000000.0,3947000000.0,3337000000.0,
Construction In Progress,428000000.0,404000000.0,491000000.0,476000000.0,
Other Properties,4806000000.0,3930000000.0,2964000000.0,2484000000.0,
Land And Improvements,191000000.0,167000000.0,148000000.0,122000000.0,
Current Assets,958000000.0,990000000.0,871000000.0,1020000000.0,
Other Current Assets,71000000.0,60000000.0,53000000.0,62000000.0,
Hedging Assets Current,,,0.0,24000000.0,0.0
Prepaid Assets,26000000.0,18000000.0,21000000.0,20000000.0,
Inventory,90000000.0,79000000.0,79000000.0,55000000.0,
Receivables,100000000.0,93000000.0,109000000.0,98000000.0,
Taxes Receivable,4000000.0,4000000.0,3000000.0,8000000.0,
Loans Receivable,11000000.0,16000000.0,13000000.0,0.0,
Accounts Receivable,85000000.0,73000000.0,93000000.0,90000000.0,
Allowance For Doubtful Accounts Receivable,-7000000.0,-5000000.0,-3000000.0,-4000000.0,
Gross Accounts Receivable,92000000.0,78000000.0,96000000.0,94000000.0,
Cash Cash Equivalents And Short Term Investments,671000000.0,740000000.0,609000000.0,761000000.0,
Cash And Cash Equivalents,671000000.0,740000000.0,609000000.0,761000000.0,
